1979;21.77;;;
1980;15.97;;;
1981;7.09;;;
1982;9.69;;;
1983;11.46;;;
1984;8.76;;;
1985;4.31;;;
1986;8.83;;;
1987;8.90;;;
1988;5.47;;;
1989;5.97;;;
1990;9.53;;;
1991;9.52;;;
1992;4.94;;;
1993;9.77;;;
1994;9.24;;;
1995;8.64;;;
1996;6.47;;;
1997;11.05;;;
1998;77.63;;;
1999;2.01;;;
2000;9.35;;;
2001;12.55;;;
2002;10.03;;;
2003;5.06;;;
2004;6.40;;;
2005;17.11;;;
2006;6.60;;;
2007;6.59;;;
2008;11.06;;;
2009;2.78;;;
2010;6.96;;;
2011;3.79;;;
2012;4.30;;;
2013;8.38;;;
2014;8.36;;;
2015;3.35;;;
2016;3.02;;;
2017;3.61;;;
2018;3.13;;;
2019;2.72;;;
